product_id,product_name,price
1,Wireless Headphones,89.99
2,Smartphone,499.50
3,Laptop,999.00
4,Smartwatch,349.00
5,Bluetooth Speaker,59.99
6,Tablet,299.00
7,Desktop Monitor,189.90
8,Mechanical Keyboard,79.99
9,Gaming Mouse,59.99
10,Webcam,39.99
11,Portable SSD,129.99
12,USB Flash Drive,19.99
13,Wireless Charger,49.90
14,Noise Cancelling Earbuds,199.99
15,Smart TV,699.00
16,Router,89.00
17,Power Bank,29.90
18,Drone,1199.00
19,Action Camera,349.99
20,VR Headset,699.00
21,Smart Home Hub,129.99
22,3D Printer,899.00
23,External Hard Drive,79.00
24,Smart Thermostat,229.00
25,Robot Vacuum,499.00
26,Wireless Microphone,149.00
27,Graphic Tablet,259.00
28,Electric Scooter,799.00
29,Dash Camera,179.00
30,LED Desk Lamp,39.90
